Full Name,Age,City,Are you currently a student ?,What is your highest/current education level ?,Are you currently employed ?,"If Yes, what is your monthly income ?",Do you use UPI ?,"If yes, how many UPI transactions do you make in a week?",What is your average monthly spending ?,Do you pay rent ?,"If yes, how much you pay monthly ?",How do you pay your rent ?,"Do you pay bills (electricity, mobile, internet) on time?",How much do you spend on mobile recharges monthly?,How many subscriptions do you pay for?,List your paid subscriptions,How often are you unable to pay subscriptions on time?,What phone type do you use?,Phone brand and model ?,How many hours/day do you use your phone?,Do you actively save a portion of your income?,"If yes, how much do you save per month","If you save money, where do you keep your savings ?",Do you use savings tracking applications ?,Which financial apps do you use regularly?,"Do you have any active EMIs or loans (student loan, mobile EMI, etc.)?","If yes, total EMI amount paid per month?","Have you ever used Buy Now Pay Later (BNPL) services (ZestMoney, LazyPay, Simpl)?",Do you have a financial goal you're saving for?,"If yes, what is the goal?",How soon do you aim to achieve this goal (months)?,Do you have an emergency fund that can cover 3+ months of expenses?,"If faced with an emergency, how would you manage funds?",Do you invest in crypto ?,Do you invest in any of the following ?,Do you participate in charity donations or volunteering?,How long have you been living at your current address (months) ?,How long have you been at your current job/college (months)?
Unnati Chokshi,21,Udaipur,Yes,UnderGraduate,Yes,62000,Yes,33,51500,Yes,4500,Bank Transfer,Always,299,1,Others,Sometimes,Mid-Range,Poco F5,10,Yes,9000,Bank,Yes,"Jar, Paytm, Fi, PhonePe",No,0,No,Yes,Travel,8.0,No,Friends,No,"PPF, Mutual Funds, Fixed Deposits",No,20,42
Ekanta Garde,24,Mangalore,Yes,PostGraduate,Yes,39000,Yes,16,34000,Yes,5500,UPI,Always,299,0,,Never,Mid-Range,Redmi Note 13,9,Yes,8000,Investment Products,Yes,,No,0,Yes,Yes,Travel,17.0,No,Savings,No,"Fixed Deposits, Stocks, PPF",No,50,19
Yagnesh Grover,22,Faridabad,Yes,PostGraduate,Yes,32000,Yes,15,24500,Yes,9500,UPI,Always,249,2,"Others, Streaming",Never,Mid-Range,Poco X4 GT,5,Yes,7000,Bank,Yes,"Upstox, Others",No,0,Yes,No,,,No,Credit Card,No,,No,34,48
Omaja Parekh,23,Mangalore,Yes,UnderGraduate,Yes,43000,Yes,15,38500,No,0,,Always,299,1,Streaming,Never,Budget,Samsung A13,10,Yes,4500,Bank,Yes,"Fi, CoinSwitch",No,0,Yes,No,,,Yes,Savings,No,"Fixed Deposits, Mutual Funds",No,23,32
Zayyan Kala,25,Dehradun,Yes,PostGraduate,Yes,16000,Yes,29,14500,No,0,,Sometimes,299,2,"Streaming, Others",Always,Budget,Redmi Note 13,10,Yes,2500,Bank,Yes,"Jar, CoinSwitch",No,0,No,No,,,Yes,Savings,No,,No,39,15
Fitan Chander,22,Chandigarh,Yes,PostGraduate,Yes,34000,Yes,21,27500,Yes,11000,Cash,Always,199,1,Others,Sometimes,Mid-Range,Moto G30,4,Yes,7500,Bank,Yes,Fi,No,0,No,Yes,Travel,21.0,Yes,Savings,No,Fixed Deposits,No,37,26
Meghana Soni,23,Lucknow,Yes,UnderGraduate,Yes,26000,Yes,25,17500,Yes,7500,UPI,Always,299,2,"Streaming, Music",Never,Flag-Ship,Samsung A52,9,Yes,8500,Bank,Yes,GPay,Yes,9000,No,No,,,No,Credit Card,No,,Yes,37,24
Ekbal Oommen,23,Visakhapatnam,Yes,PostGraduate,Yes,50000,No,0,40500,No,0,,Sometimes,299,0,,Never,Mid-Range,Samsung A52,3,Yes,10000,Bank,Yes,CoinSwitch,No,0,No,No,,,Yes,Savings,Yes,"Stocks, PPF, Other",Yes,12,11
Lila Sharaf,23,Udaipur,Yes,UnderGraduate,Yes,14000,Yes,27,12500,Yes,6500,Bank Transfer,Always,299,3,"Others, Streaming, Social Media",Never,Mid-Range,Poco F4,8,Yes,1500,Bank,No,"PhonePe, Paytm",No,0,No,Yes,Gadget,10.0,Yes,Savings,Yes,"Fixed Deposits, Other",Yes,21,3
Benjamin Mallick,22,Nashik,Yes,PostGraduate,No,0,Yes,32,2000,No,0,,Always,399,1,Others,Sometimes,Mid-Range,Moto G30,10,Yes,2500,Investment Products,No,Upstox,No,0,Yes,No,,,No,Savings,No,,No,39,48
Aayush Chokshi,18,Noida,Yes,UnderGraduate,No,0,Yes,14,4500,Yes,19500,Cash,Always,399,1,Music,Never,Flag-Ship,Poco M4 Pro,3,No,0,,No,Others,Yes,4500,No,No,,,Yes,Savings,Yes,Mutual Funds,No,45,37
Om Chokshi,22,Kolkata,Yes,PostGraduate,No,0,Yes,28,7000,No,0,,Always,399,2,"Educational, Music",Always,Mid-Range,Samsung M51,10,No,0,,Yes,"Fi, CoinSwitch",No,0,No,No,,,Yes,Savings,No,Stocks,No,12,31
Frederick Kale,20,Ahmedabad,Yes,UnderGraduate,Yes,43000,No,0,46500,No,0,,Always,499,0,,Never,Mid-Range,Samsung A52,7,No,0,,Yes,Upstox,No,0,No,No,,,No,Savings,No,Stocks,Yes,60,17
Andrew Mukhopadhyay,22,Raipur,Yes,PostGraduate,Yes,14000,Yes,31,13500,Yes,9000,UPI,Always,299,0,,Never,Budget,Poco M4 Pro,5,No,0,,Yes,"GPay, Jar",No,0,Yes,Yes,Travel,4.0,No,Credit Card,No,Stocks,No,29,21
Tanvi Doctor,20,Patna,Yes,UnderGraduate,No,0,Yes,12,8500,Yes,11500,Bank Transfer,Always,399,0,,Never,Mid-Range,Samsung A13,3,No,0,,Yes,,No,0,No,No,,,No,BNPL,No,,No,37,9
Ronith Randhawa,18,Kochi,Yes,UnderGraduate,No,0,Yes,22,3500,Yes,9500,Bank Transfer,Always,399,0,,Never,Budget,Samsung M14 5G,10,No,0,,Yes,"CoinSwitch, Groww, Upstox",No,0,No,No,,,No,BNPL,No,"PPF, Fixed Deposits",No,19,26
Hemangini Narula,18,Visakhapatnam,Yes,UnderGraduate,Yes,73000,Yes,13,49500,Yes,14000,UPI,Always,299,0,,Never,Mid-Range,Poco F1,6,Yes,23000,Bank,Yes,Paytm,No,0,Yes,Yes,Gadget,5.0,Yes,Savings,No,Other,No,42,22
Anita Som,25,Ajmer,Yes,PostGraduate,No,0,Yes,12,8000,No,0,,Always,299,3,"Social Media, Others, Streaming",Never,Mid-Range,Realme Narzo 30,6,No,0,,Yes,Fi,No,0,No,Yes,Gadget,20.0,Yes,Savings,No,Stocks,No,28,8
Yahvi Sura,22,Coimbatore,Yes,PostGraduate,Yes,79000,Yes,20,54000,Yes,8500,Bank Transfer,Always,499,0,,Never,Mid-Range,Poco X6 Neo,6,Yes,23000,Bank,Yes,"Upstox, Groww, GPay",No,0,No,No,,,Yes,Savings,Yes,Fixed Deposits,No,41,26
Harinakshi Lad,18,Pune,Yes,UnderGraduate,Yes,40000,Yes,31,32500,No,0,,Always,299,1,Others,Never,Mid-Range,Moto G14,10,Yes,9500,Bank,No,Upstox,No,0,No,Yes,Travel,22.0,No,BNPL,No,Fixed Deposits,No,37,7
Aayush Apte,22,Guwahati,Yes,UnderGraduate,Yes,26000,Yes,12,27000,Yes,15000,Cash,Always,299,3,"Educational, Social Media, Music",Never,Mid-Range,Realme 9 Pro,6,No,0,,Yes,Paytm,Yes,6500,No,No,,,Yes,Savings,Yes,,Yes,40,18
Jagat Venkataraman,25,Banaras,Yes,PostGraduate,Yes,12000,Yes,29,9500,No,0,,Sometimes,599,0,,Never,Mid-Range,Moto Edge 20,4,Yes,2000,Cash,Yes,"Groww, Upstox",No,0,Yes,Yes,Travel,15.0,No,BNPL,No,"Stocks, Fixed Deposits",No,31,32
Yash Kadakia,25,Delhi,Yes,PostGraduate,Yes,15000,Yes,16,13000,Yes,14000,UPI,Always,249,2,"Educational, Social Media",Never,Mid-Range,Poco X3 Pro,8,Yes,2500,Bank,No,"PhonePe, CoinSwitch, GPay",No,0,No,No,,,No,Friends,No,"Other, PPF",No,42,33
Upadhriti Pillay,23,Gwalior,Yes,UnderGraduate,Yes,18000,Yes,32,14500,No,0,,Always,199,2,"Educational, Music",Sometimes,Mid-Range,Moto G82,4,Yes,3500,Wallet Apps,Yes,Paytm,No,0,No,Yes,Emergency Fund,7.0,No,Savings,No,,No,45,42
Hitesh Arya,24,Bengaluru,Yes,UnderGraduate,Yes,19000,Yes,13,15500,Yes,15500,Bank Transfer,Always,399,0,,Never,Mid-Range,Poco F1,4,Yes,5000,Bank,No,PhonePe,No,0,Yes,No,,,Yes,Savings,No,"Fixed Deposits, Other, Mutual Funds",No,32,42
Janani Parsa,25,Chandigarh,Yes,PostGraduate,Yes,15000,Yes,20,12500,Yes,6000,Bank Transfer,Always,299,0,,Never,Budget,Poco M4 Pro,7,Yes,2500,Wallet Apps,No,"Others, CoinSwitch",No,0,No,No,,,Yes,Savings,Yes,"Fixed Deposits, Stocks",Yes,57,32
Alexander Deol,18,Jaipur,Yes,UnderGraduate,Yes,13000,Yes,33,8500,Yes,12500,UPI,Always,399,0,,Never,Mid-Range,Poco X5 Pro,6,Yes,4000,Bank,No,"GPay, PhonePe",No,0,No,No,,,Yes,Savings,No,PPF,No,29,24
Neelima Batra,18,Kanpur,Yes,UnderGraduate,No,0,No,0,6000,Yes,15000,UPI,Always,299,1,Others,Sometimes,Mid-Range,Redmi Note 10 Pro,8,No,0,,Yes,"Others, CoinSwitch",No,0,Yes,No,,,No,Other,No,PPF,No,16,29
Abdul Jani,24,Ghaziabad,Yes,PostGraduate,Yes,37000,Yes,19,28500,No,0,,Sometimes,399,1,Educational,Never,Budget,Samsung M12,3,Yes,9500,Cash,No,CoinSwitch,No,0,No,No,,,No,Other,No,,No,12,19
Christopher Buch,20,Warangal,Yes,UnderGraduate,Yes,21000,Yes,23,18500,No,0,,Sometimes,399,1,Social Media,Sometimes,Budget,Moto G40 Fusion,5,Yes,2500,Bank,No,"Fi, Groww",Yes,4000,No,No,,,Yes,Savings,No,Other,No,19,44
Bina Gulati,23,Ranchi,Yes,UnderGraduate,Yes,35000,Yes,26,27000,No,0,,Always,399,3,"Streaming, Music, Social Media",Sometimes,Mid-Range,Moto G82,5,Yes,7500,Bank,No,"PhonePe, Groww",Yes,7000,No,Yes,Gadget,5.0,Yes,Savings,No,,No,41,15
Balhaar Tripathi,24,Warangal,Yes,UnderGraduate,No,0,Yes,17,8000,Yes,10000,UPI,Always,299,0,,Never,Flag-Ship,Poco M4 Pro,10,No,0,,Yes,GPay,No,0,No,Yes,Emergency Fund,21.0,Yes,Savings,No,"Fixed Deposits, Stocks, PPF",Yes,50,10
Anjali Thaker,22,Ranchi,Yes,UnderGraduate,No,0,No,0,8000,Yes,11500,Bank Transfer,Always,499,2,"Music, Educational",Never,Flag-Ship,Samsung M33 5G,3,Yes,2500,Bank,No,"GPay, Fi",No,0,Yes,Yes,Travel,5.0,Yes,Savings,No,,No,35,42
Dhruv Bhagat,24,Vadodara,Yes,PostGraduate,Yes,41000,Yes,32,33500,No,0,,Sometimes,499,1,Music,Sometimes,Mid-Range,Samsung M32,10,Yes,5500,Bank,Yes,"Upstox, CoinSwitch, Paytm",Yes,8000,No,No,,,Yes,Savings,No,"Other, Mutual Funds",Yes,60,27
David Jain,18,Ahmedabad,Yes,UnderGraduate,Yes,15000,Yes,34,12500,Yes,9500,UPI,Always,399,0,,Never,Mid-Range,Realme Narzo 60 Pro,6,Yes,3500,Bank,Yes,Paytm,No,0,No,Yes,Vehicles,18.0,Yes,Savings,No,Fixed Deposits,No,48,19
Kashish Randhawa,18,Mangalore,Yes,UnderGraduate,Yes,18000,Yes,11,14500,Yes,8500,Bank Transfer,Always,249,0,,Never,Mid-Range,Realme 11 Pro,8,Yes,4000,Bank,Yes,Jar,No,0,No,No,,,No,Friends,Yes,"Mutual Funds, PPF, Other",Yes,15,31
Saksham Dugal,19,Gwalior,Yes,UnderGraduate,Yes,43000,Yes,23,45000,No,0,,Always,599,1,Streaming,Never,Mid-Range,Moto Edge 40,4,No,0,,No,PhonePe,Yes,5000,No,No,,,No,Friends,No,PPF,No,59,28
Tanish Seth,22,Dehradun,Yes,UnderGraduate,Yes,18000,Yes,21,17500,No,0,,Sometimes,399,2,"Music, Streaming",Always,Mid-Range,Samsung M32,5,Yes,2000,Cash,No,"Others, Upstox, CoinSwitch, Fi",No,0,Yes,Yes,Travel,4.0,Yes,Savings,No,Stocks,Yes,30,44
Bhavika Narayanan,21,Mysuru,Yes,UnderGraduate,No,0,Yes,35,8000,Yes,9500,Bank Transfer,Always,399,0,,Never,Budget,Redmi Note 10 Pro,10,No,0,,Yes,"Jar, Groww",No,0,Yes,No,,,No,Friends,No,,Yes,14,17
Vihaan Kakar,25,Hubli,Yes,PostGraduate,No,0,Yes,28,3500,Yes,8000,Bank Transfer,Sometimes,499,3,"Music, Social Media, Educational",Sometimes,Mid-Range,Realme Narzo 60 Pro,7,Yes,3000,Wallet Apps,No,"Fi, Paytm, Upstox",No,0,No,Yes,Gadget,6.0,Yes,Savings,No,"PPF, Stocks",No,8,19
Alka Narang,18,Ludhiana,Yes,UnderGraduate,No,0,Yes,13,4000,Yes,10500,Bank Transfer,Always,249,1,Educational,Always,Budget,Moto G14,5,No,0,,Yes,"Fi, Groww, CoinSwitch",No,0,No,Yes,Travel,7.0,Yes,Savings,No,"Stocks, PPF",Yes,9,17
Harita Kalla,19,Vijayawada,Yes,UnderGraduate,Yes,63000,Yes,32,53000,Yes,14500,UPI,Always,299,1,Educational,Never,Mid-Range,Samsung A23,5,Yes,14500,Bank,Yes,,No,0,Yes,Yes,Vehicles,8.0,Yes,Savings,No,Mutual Funds,No,32,48
Saumya Choudhry,18,Kanpur,Yes,UnderGraduate,Yes,33000,Yes,33,35000,No,0,,Sometimes,299,1,Streaming,Never,Mid-Range,Poco M4 Pro,9,No,0,,No,"CoinSwitch, GPay, Groww",No,0,No,No,,,No,Credit Card,No,,Yes,59,6
Yashvi Toor,21,Jodhpur,Yes,UnderGraduate,No,0,Yes,27,4500,Yes,4500,UPI,Sometimes,199,1,Educational,Sometimes,Mid-Range,Samsung A52,5,No,0,,Yes,CoinSwitch,Yes,3000,No,Yes,Other,12.0,Yes,Savings,No,"PPF, Mutual Funds, Stocks",No,31,9
Hardik Sahota,20,Warangal,Yes,UnderGraduate,No,0,Yes,31,2500,No,0,,Always,249,2,"Others, Educational",Never,Mid-Range,Poco M3 Pro,4,No,0,,Yes,"Upstox, Groww, Jar, Fi",No,0,No,No,,,Yes,Savings,No,Stocks,Yes,26,15
Jackson Zacharia,18,Ajmer,Yes,UnderGraduate,Yes,33000,No,0,24500,No,0,,Always,399,1,Social Media,Sometimes,Budget,Moto G82,9,Yes,8500,Bank,No,,No,0,No,Yes,Gadget,14.0,Yes,Savings,No,Other,No,32,20
Damini Kakar,19,Surat,Yes,UnderGraduate,No,0,No,0,3500,Yes,10000,UPI,Always,249,3,"Educational, Music, Social Media",Sometimes,Mid-Range,Moto G40 Fusion,10,No,0,,Yes,"Groww, PhonePe",No,0,No,No,,,No,Credit Card,No,,No,29,8
Udarsh Padmanabhan,22,Vijayawada,Yes,UnderGraduate,No,0,No,0,5500,Yes,7500,UPI,Always,299,0,,Never,Mid-Range,Samsung A13,6,Yes,2500,Bank,No,,No,0,No,Yes,Travel,12.0,No,Credit Card,No,Other,No,24,3
Gaurika Dey,20,Mumbai,Yes,UnderGraduate,Yes,28000,Yes,31,25000,Yes,19000,Bank Transfer,Always,299,3,"Educational, Social Media, Others",Sometimes,Mid-Range,Redmi Note 14 Pro,5,Yes,5000,Bank,No,"GPay, Others, Groww, Jar",Yes,3000,Yes,Yes,Emergency Fund,17.0,No,BNPL,No,,No,18,48
Lavanya Sathe,19,Patna,Yes,UnderGraduate,Yes,15000,Yes,22,12500,No,0,,Always,249,0,,Never,Mid-Range,Samsung M33 5G,3,Yes,2500,Bank,Yes,,Yes,8000,Yes,No,,,Yes,Savings,Yes,"Stocks, Other",No,20,18
Reva Bath,22,Vijayawada,Yes,PostGraduate,Yes,39000,Yes,23,35000,Yes,15000,Bank Transfer,Always,299,0,,Never,Mid-Range,Redmi Note 10 Pro,7,Yes,7500,Bank,Yes,Fi,No,0,No,No,,,Yes,Savings,Yes,,No,46,9
Panini Vohra,23,Madurai,Yes,UnderGraduate,Yes,24000,Yes,25,20500,Yes,7000,UPI,Always,499,1,Streaming,Never,Budget,Samsung A73,10,Yes,4500,Bank,No,Upstox,No,0,No,Yes,Gadget,23.0,Yes,Savings,No,"Mutual Funds, Other, Fixed Deposits",Yes,24,32
Jagvi Gade,22,Guwahati,Yes,UnderGraduate,Yes,48000,Yes,32,41500,No,0,,Always,299,1,Music,Never,Mid-Range,Poco X3 Pro,5,Yes,6000,Bank,No,Upstox,No,0,No,Yes,Other,6.0,Yes,Savings,No,"Mutual Funds, Other",No,29,45
Varsha Master,22,Thiruvananthapuram,Yes,UnderGraduate,No,0,Yes,29,3500,Yes,10000,UPI,Always,249,0,,Never,Budget,Poco X4 GT,4,Yes,2000,Bank,No,"Groww, Paytm, CoinSwitch",No,0,Yes,No,,,Yes,Savings,No,PPF,Yes,37,15
Jhalak Karpe,22,Amritsar,Yes,UnderGraduate,Yes,39000,No,0,26500,Yes,14000,Bank Transfer,Always,599,0,,Never,Mid-Range,Poco F4,8,Yes,11500,Bank,Yes,PhonePe,No,0,Yes,No,,,Yes,Savings,No,,No,49,18
Falan Loke,23,Ajmer,Yes,PostGraduate,No,0,No,0,7500,Yes,10000,Bank Transfer,Always,299,0,,Never,Flag-Ship,Samsung M14 5G,5,Yes,2500,Bank,Yes,"PhonePe, Upstox, Jar",Yes,6500,No,No,,,Yes,Savings,No,,No,18,33
Neel Gade,23,Nagpur,Yes,PostGraduate,Yes,54000,Yes,35,50000,Yes,9000,Bank Transfer,Always,399,1,Others,Never,Mid-Range,Redmi 10 Prime,9,Yes,5500,Cash,Yes,Fi,No,0,No,No,,,Yes,Savings,Yes,"Fixed Deposits, Stocks, PPF",No,18,34
Anirudh Chander,18,Surat,Yes,UnderGraduate,Yes,39000,Yes,29,39000,No,0,,Sometimes,299,2,"Social Media, Streaming",Sometimes,Budget,Poco X4 GT,4,No,0,,No,"CoinSwitch, Fi, PhonePe",No,0,No,No,,,No,Credit Card,Yes,"Fixed Deposits, PPF",No,51,47
Rayaan Shenoy,24,Kanpur,Yes,UnderGraduate,Yes,62000,Yes,12,57500,Yes,15000,UPI,Always,399,1,Streaming,Never,Mid-Range,Poco X4 GT,4,Yes,8000,Bank,No,"Jar, CoinSwitch, Upstox",No,0,No,No,,,Yes,Savings,Yes,,No,17,31
Ekaja Nadig,21,Bhopal,Yes,UnderGraduate,Yes,32000,Yes,35,26000,No,0,,Always,599,1,Educational,Never,Flag-Ship,Poco X6 Neo,3,Yes,5500,Bank,No,"Others, Fi",No,0,Yes,Yes,Other,12.0,No,Friends,No,Mutual Funds,Yes,24,9
Vyanjana Walla,19,Rajkot,Yes,UnderGraduate,Yes,16000,Yes,16,11000,No,0,,Always,299,2,"Social Media, Educational",Never,Mid-Range,Redmi Note 13,4,Yes,4000,Cash,No,Others,Yes,4000,No,No,,,Yes,Savings,No,,No,54,38
Ekantika Konda,19,Bengaluru,Yes,UnderGraduate,No,0,Yes,12,7000,Yes,14000,UPI,Always,299,2,"Music, Streaming",Sometimes,Mid-Range,Samsung M51,5,Yes,3500,Wallet Apps,Yes,"Upstox, Fi",Yes,3000,No,Yes,Gadget,24.0,Yes,Savings,No,"Fixed Deposits, Other",No,60,20
